fresh chilly on stove
what  lol  he talks
thanks i apprcate it
where is it at
ok mght nt ether
i eat pizza now
ill be ok    promise
gram   mom is home
my mom is home
shooting to be there
whatcha up to today
cool  wanna do something
hungry for zucchini stew
did u eat yet
ok heading over there
me too running late
no pic came through
yeah that should work
gram mentioned pizza hit
nope  just got home
can i swing by
lol  is amber going
dunno yet  we'll see
easier if i call
swing by later today
i'm here till 5
yes i have him
comin back from lunch
go snort a line
any plans for later
wanna do something later
k  i'll be by
